sample_id,d13C_measurement,d13C_precision
4822,-6.28,0.06
4823,-7.5,0.06
4824,-7.81,0.06
4825,-7.59,0.06
4826,-7.57,0.06
4827,-7.14,0.06
4828,-7.72,0.06
4829,-7.59,0.06
4830,-7.43,0.06
4831,-7.45,0.06
4832,-7.97,0.06
4833,-7.51,0.06
4834,-7.44,0.06
4835,-7.63,0.06
4836,-7.93,0.06
4837,-7.82,0.06
4838,-7.39,0.06
4839,-7.3,0.06
4840,-7.46,0.06
4841,-7.47,0.06
4842,-7.0,0.06
4843,-8.01,0.06
4844,-8.11,0.06
4845,-7.74,0.06
4846,-7.04,0.06
4847,-7.93,0.06
4848,-8.41,0.06
4849,-8.41,0.06
4850,-8.42,0.06
4851,-7.92,0.06
4852,-6.48,0.06
4853,-6.19,0.06
4854,-7.33,0.06
4855,-7.0,0.06
4856,-6.67,0.06
4857,-6.36,0.06
4858,-6.89,0.06
4859,-7.49,0.06
4860,-6.52,0.06
4861,-6.84,0.06
4862,-7.62,0.06
4863,-7.77,0.06
4864,-7.0,0.06
4865,-7.0,0.06
4866,-6.8,0.06
4867,-7.03,0.06
4868,-7.5,0.06
4869,-7.62,0.06
4870,-7.52,0.06
4871,-7.28,0.06
4872,-6.68,0.06
4873,-6.46,0.06
4874,-5.59,0.06
4875,-7.21,0.06
4876,-7.04,0.06
4877,-7.13,0.06
4878,-6.31,0.06
4879,-5.85,0.06
4880,-6.06,0.06
4881,-5.98,0.06
4882,-6.65,0.06
4883,-6.2,0.06
4884,-7.4,0.06
4885,-7.58,0.06
4886,-7.63,0.06
4887,-6.26,0.06
4888,-6.17,0.06
4889,-6.85,0.06
4890,-6.87,0.06
4891,-6.36,0.06
4892,-7.67,0.06
4893,-8.0,0.06
4894,-7.86,0.06
4895,-7.48,0.06
4896,-7.2,0.06
4897,-6.07,0.06
4898,-6.41,0.06
4899,-7.64,0.06
4900,-7.56,0.06
4901,-7.07,0.06
4902,-5.61,0.06
4903,-6.27,0.06
4904,-6.32,0.06
4905,-7.25,0.06
4906,-7.5,0.06
4907,-6.49,0.06
4908,-6.51,0.06
4909,-5.75,0.06
4910,-6.1,0.06
4911,-6.22,0.06
4912,-5.55,0.06
4913,-6.99,0.06
4914,-7.13,0.06
4915,-6.26,0.06
4916,-6.09,0.06
4917,-7.09,0.06
4918,-6.97,0.06
4919,-7.3,0.06
4920,-6.95,0.06
4921,-6.58,0.06
4922,-5.92,0.06
4923,-5.49,0.06
4924,-6.81,0.06
4925,-5.48,0.06
4926,-5.37,0.06
4927,-6.7,0.06
4928,-6.85,0.06
4929,-6.75,0.06
4930,-7.46,0.06
4931,-7.06,0.06
4932,-6.67,0.06
4933,-6.35,0.06
4934,-5.78,0.06
4935,-6.22,0.06
4936,-6.47,0.06
4937,-6.76,0.06
4938,-6.54,0.06
4939,-6.45,0.06
4940,-6.79,0.06
4941,-6.6,0.06
4942,-6.04,0.06
4943,-6.28,0.06
4944,-6.18,0.06
4945,-5.26,0.06
4946,-5.73,0.06
4947,-5.61,0.06
4948,-5.78,0.06
4949,-5.19,0.06
4950,-5.46,0.06
4951,-5.54,0.06
4952,-5.16,0.06
4953,-5.42,0.06
4954,-5.09,0.06
4955,-5.46,0.06
4956,-4.86,0.06
4957,-4.95,0.06
4958,-4.39,0.06
4959,-4.6,0.06
4960,-4.85,0.06
4961,-4.81,0.06
4962,-4.54,0.06
4963,-5.48,0.06
4964,-5.37,0.06
4965,-5.73,0.06
4966,-4.85,0.06
4967,-5.84,0.06
4968,-5.78,0.06
4969,-6.03,0.06
4970,-6.39,0.06
4971,-6.81,0.06
4972,-6.87,0.06
4973,-7.29,0.06
4974,-6.71,0.06
4975,-6.87,0.06
4976,-6.95,0.06
4977,-6.88,0.06
4978,-7.26,0.06
4979,-7.47,0.06
4980,-7.21,0.06
4981,-6.75,0.06
4982,-7.02,0.06
4983,-7.08,0.06
4984,-7.05,0.06
4985,-7.2,0.06
4986,-7.19,0.06
4987,-7.5,0.06
4988,-7.12,0.06
4989,-6.68,0.06
4990,-6.91,0.06
4991,-7.01,0.06
4992,-6.76,0.06
4993,-6.22,0.06
4994,-6.35,0.06
4995,-6.03,0.06
4996,-6.35,0.06
4997,-6.17,0.06
4998,-6.02,0.06
4999,-6.24,0.06
5000,-5.94,0.06
5001,-6.84,0.06
5002,-6.03,0.06
5003,-6.24,0.06
5004,-5.67,0.06
5005,-5.13,0.06
5006,-4.92,0.06
5007,-5.28,0.06
5008,-5.16,0.06
5009,-4.96,0.06
5010,-5.0,0.06
5011,-4.98,0.06
5012,-4.78,0.06
5013,-5.29,0.06
5014,-5.49,0.06
5015,-5.34,0.06
5016,-5.48,0.06
5017,-5.08,0.06
5018,-5.49,0.06
5019,-5.06,0.06
5020,-4.95,0.06
5021,-5.03,0.06
5022,-4.94,0.06
5023,-5.05,0.06
5024,-4.84,0.06
5025,-5.01,0.06
5026,-4.76,0.06
5027,-4.76,0.06
5028,-4.67,0.06
5029,-4.72,0.06
5030,-4.59,0.06
5031,-4.84,0.06
5032,-4.84,0.06
5033,-5.1,0.06
5034,-4.95,0.06
5035,-5.19,0.06
5036,-5.39,0.06
5037,-5.46,0.06
5038,-5.37,0.06
5039,-5.56,0.06
5040,-5.45,0.06
5041,-4.98,0.06
5042,-5.44,0.06
5043,-5.47,0.06
5044,-5.38,0.06
5045,-5.35,0.06
5046,-4.89,0.06
5047,-5.03,0.06
5048,-4.77,0.06
5049,-4.76,0.06
5050,-4.79,0.06
5051,-4.46,0.06
5052,-4.34,0.06
5053,-4.36,0.06
5054,-4.48,0.06
5055,-4.58,0.06
5056,-4.78,0.06
5057,-5.31,0.06
