sample_id,d18O_measurement,d18O_precision
4822,-10.19,0.1
4823,-10.65,0.1
4824,-10.9,0.1
4825,-11.18,0.1
4826,-11.16,0.1
4827,-10.88,0.1
4828,-10.99,0.1
4829,-10.85,0.1
4830,-10.73,0.1
4831,-10.56,0.1
4832,-11.01,0.1
4833,-10.92,0.1
4834,-10.96,0.1
4835,-10.73,0.1
4836,-10.25,0.1
4837,-10.16,0.1
4838,-10.35,0.1
4839,-10.26,0.1
4840,-10.39,0.1
4841,-10.44,0.1
4842,-9.9,0.1
4843,-10.48,0.1
4844,-10.92,0.1
4845,-11.07,0.1
4846,-10.54,0.1
4847,-10.63,0.1
4848,-10.73,0.1
4849,-10.63,0.1
4850,-10.98,0.1
4851,-10.3,0.1
4852,-9.86,0.1
4853,-9.66,0.1
4854,-10.05,0.1
4855,-10.15,0.1
4856,-10.09,0.1
4857,-9.99,0.1
4858,-10.6,0.1
4859,-10.75,0.1
4860,-10.43,0.1
4861,-10.28,0.1
4862,-10.29,0.1
4863,-10.37,0.1
4864,-10.41,0.1
4865,-10.31,0.1
4866,-10.01,0.1
4867,-10.26,0.1
4868,-10.77,0.1
4869,-11.01,0.1
4870,-11.04,0.1
4871,-11.04,0.1
4872,-10.64,0.1
4873,-10.52,0.1
4874,-10.37,0.1
4875,-11.41,0.1
4876,-10.65,0.1
4877,-10.43,0.1
4878,-10.84,0.1
4879,-10.84,0.1
4880,-10.84,0.1
4881,-10.76,0.1
4882,-11.2,0.1
4883,-10.94,0.1
4884,-11.36,0.1
4885,-11.25,0.1
4886,-11.45,0.1
4887,-10.9,0.1
4888,-10.92,0.1
4889,-11.39,0.1
4890,-11.66,0.1
4891,-10.92,0.1
4892,-11.65,0.1
4893,-12.06,0.1
4894,-11.81,0.1
4895,-11.65,0.1
4896,-11.3,0.1
4897,-11.09,0.1
4898,-11.02,0.1
4899,-11.37,0.1
4900,-11.47,0.1
4901,-11.8,0.08
4902,-11.13,0.08
4903,-11.37,0.08
4904,-11.12,0.08
4905,-11.63,0.08
4906,-11.74,0.08
4907,-11.24,0.08
4908,-11.13,0.08
4909,-10.97,0.08
4910,-11.51,0.08
4911,-11.6,0.08
4912,-11.16,0.08
4913,-11.86,0.08
4914,-11.56,0.08
4915,-10.98,0.08
4916,-11.24,0.08
4917,-11.29,0.08
4918,-11.53,0.08
4919,-11.59,0.08
4920,-11.32,0.08
4921,-11.71,0.08
4922,-11.33,0.08
4923,-10.77,0.08
4924,-11.16,0.08
4925,-10.83,0.08
4926,-10.8,0.08
4927,-11.45,0.08
4928,-10.59,0.08
4929,-11.56,0.08
4930,-12.54,0.08
4931,-12.05,0.08
4932,-11.91,0.08
4933,-11.47,0.08
4934,-11.55,0.08
4935,-11.98,0.08
4936,-11.9,0.08
4937,-11.98,0.08
4938,-11.82,0.08
4939,-11.46,0.08
4940,-11.64,0.1
4941,-11.71,0.1
4942,-12.03,0.1
4943,-11.95,0.1
4944,-11.99,0.1
4945,-11.69,0.1
4946,-11.86,0.1
4947,-11.6,0.1
4948,-11.97,0.1
4949,-11.46,0.1
4950,-11.53,0.1
4951,-11.59,0.1
4952,-11.25,0.1
4953,-11.53,0.1
4954,-11.68,0.1
4955,-11.62,0.1
4956,-7.98,0.1
4957,-8.36,0.1
4958,-8.25,0.1
4959,-8.02,0.08
4960,-8.06,0.08
4961,-7.82,0.08
4962,-7.99,0.08
4963,-7.91,0.08
4964,-7.81,0.08
4965,-8.04,0.08
4966,-8.0,0.08
4967,-8.04,0.08
4968,-8.25,0.08
4969,-7.54,0.08
4970,-7.81,0.08
4971,-7.55,0.08
4972,-7.29,0.08
4973,-7.81,0.08
4974,-7.61,0.08
4975,-7.7,0.08
4976,-7.78,0.08
4977,-7.45,0.08
4978,-7.69,0.08
4979,-7.68,0.08
4980,-7.56,0.1
4981,-7.42,0.1
4982,-7.54,0.1
4983,-7.65,0.1
4984,-7.78,0.1
4985,-8.01,0.1
4986,-7.86,0.1
4987,-8.18,0.1
4988,-8.38,0.1
4989,-8.07,0.1
4990,-8.08,0.1
4991,-8.31,0.1
4992,-8.34,0.1
4993,-8.28,0.1
4994,-8.66,0.1
4995,-8.34,0.1
4996,-8.65,0.1
4997,-8.41,0.1
4998,-8.33,0.1
4999,-8.36,0.1
5000,-7.96,0.08
5001,-8.46,0.08
5002,-8.23,0.08
5003,-8.05,0.08
5004,-7.97,0.08
5005,-8.2,0.08
5006,-7.89,0.08
5007,-7.56,0.08
5008,-8.29,0.08
5009,-8.57,0.08
5010,-8.26,0.08
5011,-8.24,0.08
5012,-8.0,0.08
5013,-10.13,0.08
5014,-10.01,0.08
5015,-10.42,0.08
5016,-10.71,0.08
5017,-10.84,0.08
5018,-11.14,0.08
5019,-11.23,0.08
5020,-11.2,0.08
5021,-11.03,0.08
5022,-10.94,0.08
5023,-10.95,0.08
5024,-11.02,0.08
5025,-11.12,0.08
5026,-10.71,0.08
5027,-11.1,0.08
5028,-10.96,0.08
5029,-10.53,0.08
5030,-10.89,0.08
5031,-11.26,0.08
5032,-11.12,0.08
5033,-11.15,0.08
5034,-11.26,0.08
5035,-11.19,0.08
5036,-11.3,0.08
5037,-11.28,0.08
5038,-11.22,0.08
5039,-11.6,0.08
5040,-11.5,0.08
5041,-11.7,0.08
5042,-11.59,0.08
5043,-11.62,0.08
5044,-11.55,0.08
5045,-11.75,0.08
5046,-11.62,0.08
5047,-11.69,0.08
5048,-11.76,0.08
5049,-11.84,0.08
5050,-11.86,0.08
5051,-11.64,0.08
5052,-11.46,0.08
5053,-11.6,0.08
5054,-11.45,0.08
5055,-11.55,0.08
5056,-10.75,0.08
5057,-10.1,0.08
5058,-8.74,0.08
5060,-8.22,0.08
5061,-7.6,0.08
5062,-7.87,0.08
5063,-7.21,0.08
5064,-7.2,0.08
5065,-7.3,0.08
5066,-7.58,0.08
5067,-7.17,0.08
5068,-6.99,0.08
5069,-6.89,0.08
5070,-7.2,0.08
5071,-7.14,0.08
5072,-7.21,0.08
5073,-7.23,0.08
5074,-7.48,0.08
5075,-7.56,0.08
5076,-7.64,0.08
5077,-7.55,0.08
5078,-7.35,0.08
5079,-7.74,0.08
5080,-7.16,0.08
5081,-7.16,0.08
5082,-7.12,0.08
5083,-7.19,0.08
5084,-7.51,0.08
5085,-7.16,0.08
5086,-7.28,0.08
5087,-7.64,0.08
5088,-7.49,0.08
5089,-7.56,0.08
5090,-7.57,0.08
5091,-7.74,0.08
5092,-7.78,0.08
5093,-8.03,0.08
5094,-8.14,0.08
5095,-8.19,0.08
5096,-8.42,0.08
5097,-8.82,0.08
5098,-9.61,0.08
5099,-9.22,0.08
5100,-9.65,0.08
5101,-9.87,0.08
5102,-10.21,0.08
5103,-10.13,0.08
5104,-10.74,0.08
5105,-10.96,0.08
5106,-10.25,0.08
5107,-10.75,0.08
5108,-10.94,0.08
5109,-10.86,0.08
5110,-11.24,0.08
5111,-11.49,0.08
5112,-11.68,0.08
5113,-11.0,0.08
5114,-11.56,0.08
5115,-11.56,0.08
5116,-11.59,0.08
5117,-11.73,0.08
5118,-11.62,0.08
5119,-11.76,0.08
5120,-11.76,0.08
5121,-11.85,0.08
5122,-12.04,0.08
5123,-12.34,0.08
5124,-12.06,0.08
5125,-12.03,0.08
5126,-11.86,0.08
5127,-11.63,0.08
5128,-11.85,0.08
5129,-11.74,0.08
5130,-11.8,0.08
5131,-11.78,0.08
5132,-11.46,0.08
5133,-11.4,0.08
5134,-11.09,0.08
5135,-11.26,0.08
5136,-10.43,0.08
5137,-10.79,0.08
5138,-9.54,0.08
5139,-9.6,0.08
5140,-9.35,0.08
5141,-9.31,0.08
5142,-9.13,0.08
5143,-8.37,0.08
5144,-8.03,0.08
5145,-8.09,0.08
5146,-7.78,0.08
5147,-7.8,0.08
5148,-7.67,0.08
5149,-7.52,0.08
5150,-6.92,0.08
5151,-6.89,0.08
5152,-7.16,0.08
5153,-7.1,0.08
5154,-6.94,0.08
5155,-7.04,0.08
5156,-6.73,0.08
5157,-7.12,0.08
5158,-6.63,0.08
5159,-6.61,0.08
5160,-7.02,0.08
5161,-6.77,0.08
5162,-6.99,0.08
5163,-7.08,0.08
5164,-6.73,0.08
5165,-6.81,0.08
5166,-7.06,0.08
5167,-6.87,0.08
5168,-6.92,0.08
5169,-7.31,0.08
5170,-7.05,0.08
5171,-7.13,0.08
5172,-7.34,0.08
5173,-7.14,0.08
5174,-7.14,0.08
5175,-7.35,0.08
5177,-7.62,0.08
5178,-7.93,0.08
5179,-7.73,0.08
5180,-8.6,0.08
5182,-8.76,0.08
5183,-8.67,0.08
5184,-8.88,0.08
5185,-8.68,0.08
5186,-9.01,0.08
5187,-8.77,0.08
5188,-9.11,0.08
5189,-9.36,0.08
5190,-9.61,0.08
5191,-9.97,0.08
5192,-9.93,0.08
5193,-10.41,0.08
5194,-10.55,0.08
5195,-10.47,0.08
5196,-10.58,0.08
5197,-10.68,0.08
5198,-10.66,0.08
5199,-10.55,0.08
5200,-10.65,0.08
5201,-10.67,0.08
5202,-11.05,0.08
5203,-11.12,0.08
5204,-11.16,0.08
5205,-11.0,0.08
5206,-11.18,0.08
5207,-10.9,0.08
5208,-11.35,0.08
5209,-10.96,0.08
5210,-11.21,0.08
5211,-11.42,0.08
5212,-11.11,0.08
5213,-11.1,0.08
5214,-10.85,0.08
5215,-11.25,0.08
5216,-11.13,0.08
5217,-11.17,0.08
5218,-11.54,0.08
5219,-11.2,0.08
5220,-11.37,0.08
5221,-11.36,0.08
5222,-10.68,0.08
5223,-10.75,0.08
5224,-9.84,0.08
5225,-9.64,0.08
5226,-9.07,0.08
5227,-8.98,0.08
5228,-8.76,0.08
5229,-8.21,0.08
5230,-8.26,0.08
5231,-7.65,0.08
5232,-7.51,0.08
5233,-6.98,0.08
5234,-6.7,0.08
5235,-6.63,0.08
5236,-6.56,0.08
5237,-6.63,0.08
5238,-6.63,0.08
5239,-6.66,0.08
5240,-6.65,0.08
5241,-6.71,0.08
5242,-6.92,0.08
5243,-6.86,0.08
5244,-7.34,0.08
5245,-7.36,0.08
5246,-7.1,0.08
5247,-7.34,0.08
5248,-7.58,0.08
5249,-7.41,0.08
5250,-7.07,0.08
5251,-7.29,0.08
5252,-7.73,0.08
5253,-8.01,0.08
5254,-8.66,0.08
5255,-8.48,0.08
5256,-9.53,0.08
5257,-9.41,0.08
5258,-9.46,0.08
5259,-9.87,0.08
5260,-10.33,0.08
5261,-10.15,0.08
5262,-10.6,0.08
5263,-10.24,0.08
5264,-10.81,0.08
5265,-10.99,0.08
5266,-11.23,0.08
5267,-11.17,0.08
5268,-11.93,0.08
5269,-11.47,0.08
5270,-10.89,0.08
5271,-10.99,0.08
5272,-10.79,0.08
5273,-10.91,0.08
5274,-10.87,0.08
5275,-10.19,0.08
5276,-10.14,0.08
5277,-10.1,0.08
5278,-10.07,0.08
5279,-10.01,0.08
5280,-9.52,0.08
5281,-9.25,0.08
5282,-9.44,0.08
5283,-8.79,0.08
5284,-8.23,0.08
5285,-8.09,0.08
5286,-8.02,0.08
5287,-8.0,0.08
5288,-7.86,0.08
5289,-7.53,0.08
5290,-8.05,0.08
5291,-8.18,0.08
5292,-7.29,0.08
5293,-7.96,0.08
5294,-7.84,0.08
5295,-8.04,0.08
5296,-7.63,0.08
5297,-7.81,0.08
5298,-7.63,0.08
5299,-7.41,0.08
5300,-7.79,0.08
5301,-7.75,0.08
5302,-7.48,0.08
5303,-7.85,0.08
5304,-6.84,0.08
5305,-6.91,0.08
5306,-7.05,0.08
5307,-7.16,0.08
5308,-7.39,0.08
5309,-7.0,0.08
5310,-7.27,0.08
5311,-7.3,0.08
5312,-6.75,0.08
5313,-6.91,0.08
5314,-6.76,0.08
5315,-6.79,0.08
5316,-6.64,0.08
5317,-6.99,0.08
5318,-6.82,0.08
5319,-6.62,0.08
5320,-6.95,0.08
5321,-6.89,0.08
5322,-6.79,0.08
5323,-6.83,0.08
5324,-6.67,0.08
5325,-6.76,0.08
5326,-6.63,0.08
5327,-6.55,0.08
5328,-6.65,0.08
5329,-6.91,0.08
5330,-6.75,0.08
5331,-6.72,0.08
5332,-6.63,0.08
5333,-6.84,0.08
5334,-6.94,0.08
5335,-6.79,0.08
5336,-6.81,0.08
5337,-6.8,0.08
5338,-6.81,0.08
5339,-6.99,0.08
5340,-6.61,0.08
5341,-8.11,0.08
5342,-8.47,0.08
5343,-6.54,0.08
5344,-7.19,0.08
5345,-6.48,0.08
5346,-7.01,0.08
5347,-6.83,0.08
5348,-6.54,0.08
5349,-6.98,0.08
5350,-6.82,0.08
5351,-6.78,0.08
5352,-6.35,0.08
5353,-6.97,0.08
5354,-7.09,0.08
5355,-7.44,0.08
5356,-7.38,0.08
5357,-7.31,0.08
5358,-7.32,0.08
5359,-7.43,0.08
5360,-7.53,0.08
5361,-7.44,0.08
5362,-7.92,0.08
5363,-7.8,0.08
5364,-7.91,0.08
5365,-7.96,0.08
5366,-8.25,0.08
5367,-7.7,0.08
5368,-8.16,0.08
5369,-8.13,0.08
5370,-8.18,0.08
5371,-8.22,0.08
5372,-8.4,0.08
5373,-7.33,0.08
5374,-7.57,0.08
5375,-7.25,0.08
5376,-6.61,0.08
5377,-7.31,0.08
5378,-7.07,0.08
5379,-6.74,0.08
5380,-6.72,0.08
5381,-6.94,0.08
5382,-6.96,0.08
5383,-6.77,0.08
5384,-6.89,0.08
5385,-7.48,0.08
5386,-7.36,0.08
5387,-7.36,0.08
5388,-7.89,0.08
5389,-7.37,0.08
5390,-7.25,0.08
5391,-7.8,0.08
5392,-7.39,0.1
5393,-7.41,0.1
5394,-7.12,0.1
5395,-7.39,0.08
5396,-7.54,0.08
5397,-7.65,0.08
5398,-7.03,0.08
5399,-7.05,0.08
5400,-7.26,0.08
5401,-7.41,0.08
5402,-7.35,0.08
5403,-7.28,0.08
5404,-7.4,0.08
5405,-7.42,0.08
5406,-7.78,0.08
5407,-7.53,0.08
5408,-7.48,0.08
5409,-8.23,0.08
5410,-7.67,0.08
5411,-7.52,0.08
5412,-7.94,0.08
5413,-7.62,0.08
5414,-7.66,0.08
5415,-8.66,0.08
5416,-7.8,0.08
5417,-7.9,0.08
5418,-8.0,0.1
5419,-7.68,0.1
5420,-7.96,0.1
5421,-7.73,0.1
5422,-8.0,0.08
5423,-8.0,0.08
5424,-7.88,0.08
5425,-7.9,0.08
5426,-8.01,0.08
5427,-8.03,0.08
5428,-8.1,0.08
5429,-7.84,0.08
5430,-8.27,0.08
5431,-8.15,0.08
5432,-8.11,0.08
5433,-8.84,0.08
5434,-8.64,0.08
5435,-8.91,0.08
5436,-9.07,0.08
5437,-9.14,0.08
5438,-9.21,0.08
5439,-9.22,0.08
5440,-9.67,0.08
5441,-9.64,0.08
5442,-9.51,0.08
5443,-9.84,0.08
5444,-9.79,0.08
5445,-10.23,0.08
5446,-10.27,0.08
5447,-10.29,0.08
5448,-9.94,0.08
5449,-9.9,0.08
5450,-10.56,0.08
5451,-10.49,0.08
5452,-10.52,0.08
5453,-10.36,0.08
5454,-10.68,0.08
5455,-10.74,0.08
5456,-10.51,0.08
5457,-10.84,0.08
5458,-10.6,0.08
5459,-10.71,0.08
5460,-10.29,0.08
5461,-10.86,0.08
5462,-11.0,0.08
5463,-10.84,0.08
5464,-11.02,0.08
5465,-10.87,0.08
5466,-11.04,0.08
5467,-10.55,0.08
5468,-10.33,0.08
5469,-9.77,0.08
5470,-9.88,0.08
5471,-9.34,0.08
5472,-9.38,0.08
5473,-8.09,0.08
5474,-8.41,0.08
5475,-8.39,0.08
5476,-7.67,0.08
5477,-7.54,0.08
5478,-7.03,0.08
5479,-7.09,0.08
5480,-7.45,0.08
5481,-6.99,0.08
5482,-7.07,0.08
5483,-7.36,0.08
5484,-7.11,0.08
5485,-7.2,0.08
5486,-7.28,0.08
5487,-7.12,0.08
5488,-7.29,0.08
5489,-7.35,0.08
5490,-7.48,0.08
5491,-7.24,0.08
5492,-7.7,0.08
5493,-7.87,0.08
5494,-7.69,0.08
5495,-8.23,0.08
5496,-9.1,0.08
5497,-8.69,0.08
5498,-9.51,0.08
5499,-9.89,0.08
5500,-9.86,0.08
5501,-10.27,0.08
5502,-10.47,0.08
5503,-10.6,0.08
5504,-11.43,0.08
5505,-10.67,0.08
5506,-10.68,0.08
5507,-10.78,0.08
5508,-10.9,0.08
5509,-10.76,0.08
5510,-10.78,0.08
5511,-10.55,0.08
5512,-10.54,0.08
5513,-10.53,0.08
5514,-10.69,0.08
5515,-10.58,0.08
5516,-10.45,0.08
5517,-10.68,0.08
5518,-10.43,0.08
5519,-10.6,0.08
5520,-10.43,0.08
5521,-10.33,0.08
5522,-10.61,0.08
5523,-10.43,0.08
5524,-10.57,0.08
5525,-10.39,0.08
5526,-10.4,0.08
5527,-10.56,0.08
5528,-10.5,0.08
5529,-10.45,0.08
5530,-10.16,0.08
5531,-10.04,0.08
5532,-9.78,0.08
5533,-9.86,0.08
5534,-9.96,0.08
5535,-9.89,0.08
5536,-9.39,0.08
5537,-9.62,0.08
5538,-8.8,0.08
5539,-8.78,0.08
5540,-8.99,0.08
5541,-8.61,0.08
5542,-8.7,0.08
5543,-8.84,0.08
5544,-8.29,0.08
5545,-7.91,0.08
5546,-8.05,0.08
5547,-7.77,0.08
5548,-7.73,0.08
5549,-7.95,0.08
5550,-7.54,0.08
5551,-7.58,0.08
5552,-7.87,0.08
5553,-7.51,0.08
5554,-7.54,0.08
5555,-7.92,0.08
5556,-7.5,0.08
5557,-7.56,0.08
5558,-7.29,0.08
5559,-7.19,0.08
5560,-7.3,0.08
5561,-7.11,0.08
5562,-7.28,0.08
5563,-7.18,0.08
5564,-7.16,0.08
5565,-7.06,0.08
5566,-7.1,0.08
5567,-6.91,0.08
5568,-6.97,0.08
5569,-6.97,0.08
5570,-6.54,0.08
5571,-6.7,0.08
5572,-6.51,0.08
5573,-6.33,0.08
5574,-6.42,0.08
5575,-6.31,0.08
5576,-6.28,0.08
5577,-6.27,0.08
5578,-6.19,0.08
5579,-6.27,0.08
5580,-6.09,0.08
5581,-6.18,0.08
5582,-6.3,0.08
5583,-6.47,0.08
5584,-6.47,0.08
5585,-6.41,0.08
5586,-6.34,0.08
5587,-6.3,0.08
5588,-6.15,0.08
5589,-6.24,0.08
5590,-6.0,0.08
5591,-6.33,0.08
5592,-6.12,0.08
5593,-6.32,0.08
