dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
150,11,MC-ICP-MS U/Th,1.5,,KS06A-H1,calcite,,,4010.0,20.0,20.0,,,yes,930.0,2.0,10500.0,200.0,,,20.36075312,0.370195511,0.0755,0.0004,2.0832,0.0031,0.814430125,0.203607531,Cheng et al. 2000,3800.0,60.0,60.0,yes,yes,,,,yes,yes
151,11,MC-ICP-MS U/Th,12.8,,KS06A-H2,calcite,,,5580.0,20.0,20.0,,,yes,1135.0,3.0,2660.0,60.0,,,131.4194065,3.701955113,0.1004,0.0004,2.0034,0.0028,0.814430125,0.203607531,Cheng et al. 2000,5490.0,30.0,30.0,yes,yes,,,,yes,yes
152,11,MC-ICP-MS U/Th,23.3,,KS06A-H5,calcite,,,7450.0,30.0,30.0,,,yes,2190.0,4.0,9900.0,200.0,,,85.88535863,1.665879801,0.1267,0.0004,1.9086,0.003,0.814430125,0.203607531,Cheng et al. 2000,7320.0,40.0,40.0,yes,yes,,,,yes,yes
153,11,MC-ICP-MS U/Th,25.8,,KS06A-H6,calcite,,,8070.0,30.0,30.0,,,yes,2596.0,5.0,9700.0,200.0,,,111.0586534,1.850977557,0.1348,0.0005,1.879,0.0027,0.814430125,0.203607531,Cheng et al. 2000,7960.0,40.0,40.0,yes,yes,,,,yes,yes
154,11,MC-ICP-MS U/Th,26.5,,KS06A-H7,calcite,,,8410.0,30.0,30.0,,,yes,3035.0,4.0,8500.0,200.0,,,151.7801597,3.701955113,0.1394,0.0004,1.8668,0.0024,0.814430125,0.203607531,Cheng et al. 2000,8310.0,30.0,30.0,yes,yes,,,,yes,yes
155,11,MC-ICP-MS U/Th,27.3,,KS06A-H8,calcite,,,8640.0,30.0,30.0,,,yes,3871.0,6.0,960.0,20.0,,,1758.428679,37.01955113,0.1422,0.0004,1.8573,0.0025,0.814430125,0.203607531,Cheng et al. 2000,8570.0,30.0,30.0,yes,yes,,,,yes,yes
156,11,MC-ICP-MS U/Th,31.8,,KS06A-H3,calcite,,,9550.0,50.0,50.0,,,yes,3530.0,10.0,11200.0,200.0,,,170.2899352,3.701955113,0.1768,0.0008,2.0936,0.0035,0.814430125,0.203607531,Cheng et al. 2000,9450.0,60.0,60.0,yes,yes,,,,yes,yes
157,12,Event; hiatus,10.275,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
158,12,Event; hiatus,20.12,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
159,12,Event; hiatus,22.17,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
160,12,MC-ICP-MS U/Th,0.3,,KS06A-1,calcite,,,53300.0,200.0,200.0,,,yes,3072.0,7.0,3290.0,70.0,,,1869.487332,37.01955113,0.6557,0.0021,1.6478,0.0021,0.814430125,0.407215062,Cheng et al. 2000,53300.0,400.0,400.0,,,,,,,
161,12,MC-ICP-MS U/Th,1.8,,KS06A-2,calcite,,,65100.0,200.0,200.0,,,yes,1254.0,2.0,900.0,20.0,,,3330.0,74.03910227,0.7835,0.0016,1.6837,0.0018,0.814430125,0.407215062,Cheng et al. 2000,65000.0,300.0,300.0,,,,,,,
162,12,MC-ICP-MS U/Th,3.3,,KS06A-1,calcite,,,74700.0,300.0,300.0,,,yes,762.0,1.0,3820.0,40.0,,,536.7834915,7.403910227,0.8913,0.0023,1.7258,0.003,0.814430125,0.407215062,Cheng et al. 2000,74600.0,500.0,500.0,,,,,,,
163,12,MC-ICP-MS U/Th,3.5,,KS06A-3,calcite,,,76500.0,300.0,300.0,,,yes,1438.0,3.0,550.0,10.0,,,6830.107184,148.0782045,0.8464,0.0021,1.6154,0.002,0.814430125,0.407215062,Cheng et al. 2000,76500.0,500.0,500.0,,,,,,,
164,12,MC-ICP-MS U/Th,5.1,,KS06A-4,calcite,,,79000.0,400.0,400.0,,,yes,2414.0,5.0,373.0,8.0,,,16473.70026,370.1955113,0.8304,0.0024,1.5523,0.002,0.814430125,0.407215062,Cheng et al. 2000,79000.0,500.0,500.0,,,,,,,
165,12,MC-ICP-MS U/Th,6.8,,KS06A-5,calcite,,,81000.0,400.0,400.0,,,yes,3498.0,9.0,560.0,10.0,,,16103.50474,370.1955113,0.849,0.0025,1.5596,0.0021,0.814430125,0.407215062,Cheng et al. 2000,80900.0,600.0,600.0,,,,,,,
166,12,MC-ICP-MS U/Th,8.3,,KS06A-6,calcite,,,81900.0,400.0,400.0,,,yes,2759.0,6.0,670.0,20.0,,,11290.9631,185.0977557,0.9027,0.0026,1.6391,0.0022,0.814430125,0.407215062,Cheng et al. 2000,81900.0,600.0,600.0,,,,,,,
167,12,MC-ICP-MS U/Th,9.5,,KS06A-7,calcite,,,84700.0,300.0,300.0,,,yes,1136.0,2.0,4220.0,90.0,,,838.4928332,16.65879801,1.0207,0.002,1.7996,0.0019,0.814430125,0.407215062,Cheng et al. 2000,84600.0,400.0,400.0,,,,,,,
168,12,MC-ICP-MS U/Th,10.5,,KS06A-1,calcite,,,93700.0,300.0,300.0,,,yes,271.0,1.0,6740.0,70.0,,,140.4891966,1.480782045,1.1436,0.0022,1.8751,0.0019,0.814430125,0.407215062,Cheng et al. 2000,93300.0,600.0,600.0,,,,,,,
169,12,MC-ICP-MS U/Th,10.8,,KS06A-8,calcite,,,94600.0,300.0,300.0,,,yes,303.0,1.0,22400.0,500.0,,,48.12541648,0.925488778,1.163,0.0018,1.8932,0.0019,0.814430125,0.407215062,Cheng et al. 2000,93600.0,1200.0,1200.0,,,,,,,
170,12,MC-ICP-MS U/Th,12.3,,KS06A-9,calcite,,,96100.0,200.0,200.0,,,yes,318.0,1.0,11300.0,300.0,,,96.25083295,3.701955113,1.1253,0.0015,1.8182,0.0019,0.814430125,0.407215062,Cheng et al. 2000,95500.0,700.0,700.0,,,,,,,
171,12,MC-ICP-MS U/Th,13.7,,KS06A-10,calcite,,,97400.0,200.0,200.0,,,yes,429.0,1.0,2310.0,50.0,,,610.8225937,12.9568429,1.0767,0.0013,1.7295,0.0018,0.814430125,0.407215062,Cheng et al. 2000,97300.0,400.0,400.0,,,,,,,
172,12,MC-ICP-MS U/Th,14.2,,KS06A-11,calcite,,,99900.0,300.0,300.0,,,yes,953.0,1.0,1070.0,20.0,,,2720.937008,55.5293267,0.9987,0.0015,1.5877,0.0018,0.814430125,0.407215062,Cheng et al. 2000,99800.0,500.0,500.0,,,,,,,
173,12,MC-ICP-MS U/Th,14.8,,KS06A-12,calcite,,,101400.0,300.0,300.0,,,yes,1446.0,2.0,520.0,10.0,,,8107.281699,166.5879801,0.9636,0.0015,1.5222,0.0017,0.814430125,0.407215062,Cheng et al. 2000,101400.0,500.0,500.0,,,,,,,
174,12,MC-ICP-MS U/Th,15.0,,KS06A-2,calcite,,,101700.0,400.0,400.0,,,yes,2053.0,3.0,3970.0,40.0,,,1490.036933,16.65879801,0.9427,0.0022,1.489,0.0015,0.814430125,0.407215062,Cheng et al. 2000,101600.0,600.0,600.0,,,,,,,
175,12,MC-ICP-MS U/Th,15.2,,KS06A-26,calcite,,,102600.0,400.0,400.0,,,yes,1859.0,3.0,2500.0,50.0,,,2184.153517,55.5293267,0.9605,0.0019,1.5073,0.0016,0.814430125,0.407215062,Cheng et al. 2000,102500.0,600.0,600.0,,,,,,,
176,12,MC-ICP-MS U/Th,15.8,,KS08-127-1,calcite,,,103200.0,400.0,400.0,,,yes,2451.0,4.0,2210.0,50.0,,,3128.152071,74.03910227,0.9235,0.0021,1.449,0.0018,0.814430125,0.407215062,Cheng et al. 2000,103100.0,700.0,700.0,,,,,,,
