entity_id,site_id,entity_name,entity_status,corresponding_current,persist_id,depth_ref,geology,rock_age,wokam,vegetation_type,land_use,copernicus_lcc,cover_type,cover_thickness,host_rock_trace_elements,drip_water_trace_elements,distance_entrance,speleothem_type,drip_type,drip_height,d13C,d18O,iso_std,d18O_water_equilibrium,d18O_dripwater_carbonate_difference,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,C14,ODL,Sr_Ca,Sr_Ca_method,Sr_Ca_std,Sr_Ca_downsampled,Sr_Ca_downsampling_method,Mg_Ca,Mg_Ca_method,Mg_Ca_std,Mg_Ca_downsampled,Mg_Ca_downsampling_method,Ba_Ca,Ba_Ca_method,Ba_Ca_std,Ba_Ca_downsampled,Ba_Ca_downsampling_method,U_Ca,U_Ca_method,U_Ca_std,U_Ca_downsampled,U_Ca_downsampling_method,P_Ca,P_Ca_method,P_Ca_std,P_Ca_downsampled,P_Ca_downsampling_method,Sr_isotopes,Sr_isotopes_method,Sr_isotopes_std,trace_elements_datafile,trace_elements_metadatafile,cave_map,entity_scan,added_in_release_id,last_modified_release_id,data_DOI_URL
1,1,BT-1,current,,1-BT1,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
2,1,BT-2.1,current,,1-BT21,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
3,1,BT-2.2,current,,1-BT22,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
4,1,BT-2.3,current,,1-BT23,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
5,1,BT-2.4,current,,1-BT24,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
6,1,BT-2.5,current,,1-BT25,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
7,1,BT-4,current,,1-BT4,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
8,1,BT-6,current,,1-BT6,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
9,1,BT-8,current,,1-BT8,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
10,1,BT-9,current,,1-BT9,from top,limestone,Pleistocene,discontinuous carbonate,unknown,unknown,"closed forest, evergreen needle leaf",unknown,30.0,no,no,32.4,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,yes,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,no,1,1,https://www.ncdc.noaa.gov/paleo/study/20449
11,2,KS06-A-H,current,,2-KS06AH,from top,limestone,Pleistocene,,sparse,unknown,"closed forest, evergreen needle leaf",thin,,,,,stalagmite,unknown,,yes,yes,Vienna-PDB,unknown,,no,no,no,no,no,no,no,no,,,,,no,,,,,no,,,,,no,,,,,no,,,,,no,,,no,,no,yes,1,1,https://www.ncdc.noaa.gov/paleo/study/21350 
